# 1h,8h,16h
0.3454695300,6.7455411000,11.5539236100
1.1362237900,8.4435577400,10.6847019200
0.4884041500,6.6537447000,9.8278989800
0.4468250600,5.8402838700,10.7839908600
0.4225094300,7.7914924600,9.0850086200
0.4209681700,6.1026425400,10.1963119500
