# 1h,8h,16h
67201.0000000000,68104.0000000000,69136.0000000000
33.0000000000,96.0000000000,168.0000000000
57.0000000000,120.0000000000,192.0000000000
81.0000000000,144.0000000000,216.0000000000
105.0000000000,168.0000000000,240.0000000000
129.0000000000,192.0000000000,264.0000000000
