# 1h,8h,16h
0.9944174300,0.7215117200,0.5887277100
0.9816394400,0.6514094500,0.6196684200
0.9921077500,0.7253015000,0.6501671100
0.9927796100,0.7588850900,0.6161341700
0.9931725300,0.6783298300,0.6766109500
0.9931974400,0.7480536700,0.6370531300
